,Document_No,Topics,Text
999,999,"3 0.427540713254999, 2 0.10286538857967427, 1 0.09565038136466708, 4 0.09420737992166563, 6 0.09420737992166563, 0 0.0927643784786642, 5 0.0927643784786642","add final modifier to local variables.format.statement unnecessarily nested within else clause.\refactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
1000,1000,"2 0.3241079907746575, 0 0.17406050739384074, 3 0.14177180843847514, 4 0.11233211233211232, 6 0.11138244471577805, 5 0.07149640482973817, 1 0.0648487315153982","remove redundant modifiers (support recent checkstyle versions) ()add final modifier to local variables.use try-with-resources.formating.<action issue="""" type=""add"" dev=""ggregory"">add serializationutils.roundtrip(t extends serializable) to serialize then deserialize</action>add final modifier to local variables.suppress generic warningapplying sven ludwigs patch from . this modifies the serializationutils.clone method to use the threadcontextloader if it is unable to find a class using the objects current classloader. this should (hopefully) help with weblogic and tomcat situations where lang is outside the web-inf for some reason (likely user error with tomcat, by design for weblogic)checkstyle and trailing spaces.explain why it is safe to suppress the cast warning on serializationutils.clone()make serializationutils.clone() type-safe"
1001,1001,"4 0.17582417582417575, 0 0.13736263736263737, 1 0.13736263736263737, 2 0.13736263736263737, 3 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",use stringisempty() instead of stringlength() == 0
1002,1002,"0 0.24642206609419723, 1 0.15534738485558153, 5 0.12802498048399688, 3 0.11891751236013533, 2 0.117096018735363, 4 0.117096018735363, 6 0.117096018735363",[] strlookup for system properties now sees updated values.the lookup implementation now directly accesses system properties withoutcaching the properties object in any way.
1003,1003,"2 0.22607022607022606, 4 0.20250120250120243, 0 0.1385281385281385, 1 0.10822510822510824, 3 0.10822510822510824, 5 0.10822510822510824, 6 0.10822510822510824",crlf -> lfjavadoc: fix typo but working is still awkward.simplify isempty be reusing getlengths/if (foo) { return true; } return false;/return foo;/g
1004,1004,"5 0.22262407072533658, 2 0.20715290335543501, 3 0.1424552943540285, 0 0.14104882459312837, 6 0.10307414104882459, 1 0.09322885272252363, 4 0.09041591320072336","make whitespace use after tokens consistent and add a checkstyle rule to enforce it.: resurrect applyrules(java.util.calendar, java.lang.stringbuffer) for binary compatibilityadd final modifier to local variables.applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . "
1005,1005,"0 0.2418154761904762, 3 0.17410714285714282, 2 0.12723214285714282, 6 0.12028769841269843, 1 0.11334325396825398, 4 0.11160714285714288, 5 0.11160714285714288", enumutils *bitvector issue with more than 32 values enumthis add final modifier to local variables.[] permit bitvector generation for enums with > 64 values; plus some test corrections
1006,1006,"2 0.2774114774114774, 3 0.1372405372405372, 6 0.13040293040293038, 0 0.12185592185592188, 1 0.11330891330891332, 4 0.1098901098901099, 5 0.1098901098901099",make whitespace use after tokens consistent and add a checkstyle rule to enforce it.make sure placement of curly braces is consistent: dateutilstest.testlang530 fails for some timezones
1007,1007,"3 0.2188805346700083, 0 0.1428571428571428, 2 0.13505987190197713, 1 0.1272626009468115, 4 0.12531328320802007, 5 0.12531328320802007, 6 0.12531328320802007",add final modifier to local variables.[] vastly expanded typeutils
1008,1008,"5 0.16819827346143135, 4 0.16235032024505708, 0 0.1467557783347257, 2 0.14285714285714285, 6 0.12921191868560292, 1 0.1253132832080201, 3 0.1253132832080201","use term ""binary"" instead of ""boolarray"" in conversion. improve javadoc of class."
1009,1009,"6 0.21693121693121686, 3 0.15260373155109994, 4 0.12921191868560286, 0 0.12531328320802007, 1 0.12531328320802007, 2 0.12531328320802007, 5 0.12531328320802007",replace tabs with spaces fastdateparser and fastdateprinter support x format
1010,1010,"2 0.15659340659340656, 6 0.15659340659340656, 0 0.13736263736263737, 1 0.13736263736263737, 3 0.13736263736263737, 4 0.13736263736263737, 5 0.13736263736263737",the the patrol.validation
1011,1011,"4 0.6930402930402931, 0 0.0730972730972731, 3 0.062271062271062265, 5 0.04859584859584858, 2 0.04175824175824175, 1 0.041188441188441186, 6 0.04004884004884005","sort members.add final modifier to local variables.https://issues.apache.org/jira/browse/ stringutils methods do not handle unicode 2.0+ supplementary characters correctly.use index_not_found instead of magic number.change stringutils arguments from string to charsequence.details: working with (trunk) stringutils (su) i see the following emerge: - in svn already and continuing: change stringutils arguments from string to charsequence (cs).- this leads to replacing calls to string.substring(int[,int]) with calls to charsequence.subsequence(int)- this leads to creating a charsequenceutils class (in svn now, more on this new class below) and charsequenceutils.subsequence(charsequence,int) to avoid changing ""str.substring(start)"" over and over to ""str.subsequence(start, str.length())"". for examples, see new versions of capitalize and uncapitalize.- we end up using a tostring() on charsequence to return a string from stringutil when working with a charsequence.so we have stringutils using charsequence inputs as much as possible instead of string, which is nice. the charsequence method subsequence returns a charsequence; though the javadoc states ""returns a new charsequence that is a subsequence of this sequence."", this does not guaranteed the return value to be the same kind of charsequence as the receiver). since we are after all in a class called stringutil, calling tostring() is a must.i propose that we create when possible the methods that are now stringutils charsequence methods into charsequenceutils and let stringutil call charsequenceutils and then do its tostring() and other string specific logic. later we could have other charsequence type of utils (for charbuffer, stringbuiler, stringbuffer, etc) that use the primitives from charsequenceutils.this means that for methods that are based solely on methods that are now in charsequence, these can be moved to charsequenceutils without effort (all is* methods only call charsequencelength() and charat() for example and are now typed as cs, still in su). we can leave @deprecateds method in su as a nicety to avoid too much porting pain: first change the package to lang3 then you can optimize by changing call sites from su to csu.as a start, i put in svn a charsequenceutils (csu) implementation for length() and subsequence()."
1012,1012,"3 0.19494047619047616, 4 0.17237103174603174, 2 0.14459325396825395, 6 0.1324404761904762, 0 0.12896825396825395, 1 0.1150793650793651, 5 0.11160714285714289",remove redundant type arguments.add final modifier to local variables.[] add mode and median comparable... methods to objectutils
1013,1013,"5 0.2801587301587301, 6 0.1246031746031746, 0 0.11904761904761905, 1 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
1014,1014,"5 0.167254556143445, 0 0.15079365079365076, 2 0.15079365079365076, 6 0.13433274544385657, 1 0.1322751322751323, 3 0.1322751322751323, 4 0.1322751322751323", simplify fastdateformat; eliminate boxing
1015,1015,"6 0.282010582010582, 2 0.12275132275132275, 0 0.11904761904761904, 1 0.11904761904761904, 3 0.11904761904761904, 4 0.11904761904761904, 5 0.11904761904761904",make sure lines in files dont have trailing white spaces and remove all trailing white spaces
1016,1016,"4 0.17582417582417575, 0 0.13736263736263737, 1 0.13736263736263737, 2 0.13736263736263737, 3 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",sort members.
1017,1017,"4 0.4228884969625711, 0 0.10738781109151477, 6 0.10738781109151475, 2 0.09367038996668625, 1 0.09229864785420341, 3 0.08818342151675486, 5 0.08818342151675486","rolling stringutils and test code back to r1082046. the move to charsequence is theoretically desirable, but there are no common immutable charsequence subclasses other than string, making this a complex and useless change. instead strbuilder should be enhanced. 687use index_not_found instead of magic number.moving the indexof(string, string, int) method above the ordinalindexof methods to put it with its overloaded peers. 590"
1018,1018,"6 0.26264880952380953, 2 0.1532738095238095, 0 0.12723214285714282, 4 0.12202380952380952, 1 0.11160714285714288, 3 0.11160714285714288, 5 0.11160714285714288",make sure lines in files dont have trailing white spaces and remove all trailing white spacesadd checknotnull method in reflectiontostringbuilder.java to fix 1132
1019,1019,"5 0.2755659640905543, 6 0.1371324486078584, 1 0.11891751236013534, 0 0.11709601873536302, 2 0.11709601873536302, 3 0.11709601873536302, 4 0.11709601873536302",trailing spacesapplying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
1020,1020,"4 0.18084829560239393, 3 0.17902680197762164, 2 0.15534738485558156, 0 0.12802498048399688, 6 0.12256049960967996, 1 0.117096018735363, 5 0.117096018735363",extract method.add final modifier to local variables.[] stringutils join apis for primitives.
1021,1021,"5 0.2901379130887327, 4 0.12073900598490762, 1 0.11891751236013531, 6 0.11891751236013531, 0 0.11709601873536299, 2 0.11709601873536299, 3 0.11709601873536299",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
1022,1022,"3 0.35204927742241166, 2 0.11324330727315801, 4 0.10826818289504857, 0 0.10660980810234541, 1 0.10660980810234541, 5 0.10660980810234541, 6 0.10660980810234541","refactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
1023,1023,"4 0.2013366750208855, 2 0.15260373155109994, 5 0.13311055416318573, 1 0.1292119186856029, 3 0.1292119186856029, 0 0.12921191868560286, 6 0.12531328320802007","sort by method name.[] add exceptionutils.throwableoftype(throwable, class) andfriends."
1024,1024,"5 0.27645502645502645, 6 0.12830687830687829, 0 0.11904761904761905, 1 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
1025,1025,"5 0.2719229768410096, 6 0.14077543585740301, 1 0.11891751236013531, 0 0.11709601873536299, 2 0.11709601873536299, 3 0.11709601873536299, 4 0.11709601873536299",trailing spacesapplying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
1026,1026,"0 0.16931216931216928, 2 0.15079365079365076, 4 0.15079365079365076, 1 0.1322751322751323, 3 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",: new methods for lang3.validatethis from github.
1027,1027,"6 0.31192881192881194, 0 0.1284271284271284, 1 0.12337662337662335, 2 0.10990860990860993, 3 0.10990860990860993, 4 0.10822510822510824, 5 0.10822510822510824","make sure lines in files dont have trailing white spaces and remove all trailing white spacesreplace tabs with spaces in dateutilsadd dateutils.tocalendar(date, timezone)"
1028,1028,"3 0.32063492063492066, 2 0.1899159663865546, 1 0.11409897292250232, 4 0.10625583566760034, 6 0.10102707749766571, 0 0.08403361344537817, 5 0.08403361344537817","make whitespace use after tokens consistent and add a checkstyle rule to enforce it.use validateistrue to validate argumentsremove redundant type arguments.fixing crlfsstatement unnecessarily nested within else clause.merge branch remove_threadutils_compiler_warningsremove compiler warnings from threadutils. thanks to pascal schuhmacher.remove compiler warnings from threadutilsincorporated feedback from fabian, formatting adjusted, count >> 1 replaced with count / 2incorporated feedback from peteradd threadutils"
